Feature,Description,Start Date,End Date,Release,Status,Owner,RAG Status,Time Horizon,Kanban State,Product,Product Owner,Quarterly,Strategic Theme / Objective
Auto Save,Description of the feature shows up here.,12/02/2020,12/02/2020,Parked,,,,Long Term,Completed,iOS App,,Q3,
Login Page Enhancement,Description of the feature shows up here.,,,,,,,,,iOS App,Luke,Q4,Winning in Global Dining
Permissions,Description of the feature shows up here.,,,Release 2,,,,Near Term,In-Progress,,,Q2,Financial Relief Program
Rescue the kid,Description of the feature shows up here.,12/02/2020,12/02/2020,,,,,,,,,,Platform Modernization
Go to Tatooine,Description of the feature shows up here.,,,,,,,,,,,,Winning in Global Dining
Encryption,Description of the feature shows up here.,,,Parked,,,,Long Term,Completed,,Luke,Q3,Financial Relief Program
In-App Support 2.0,Description of the feature shows up here.,,,,,,,,,iOS App,Han,Q4,Platform Modernization
Keyword Research,Description of the feature shows up here.,,,Parked,,,,Long Term,Completed,,Leia,Q3,Winning in Global Dining
Find the kid,Description of the feature shows up here.,,,,,,,,,,,,Financial Relief Program
Third Party Gateway Integration,Description of the feature shows up here.,12/01/2020,12/01/2020,Parked,,,,Long Term,Completed,API Platform,,Q3,
Easy Setup and Use,Description of the feature shows up here.,12/12/2020,12/12/2020,Parked,,,,Long Term,Completed,,Leia,Q3,Winning in Global Dining
Touch ID Support,Description of the feature shows up here.,11/25/2020,11/25/2020,Parked,,,,Long Term,Completed,,Luke,Q3,Financial Relief Program
Social Media,Description of the feature shows up here.,,,Parked,,,,Long Term,Completed,,,Q3,Platform Modernization
Idea Submission,Description of the feature shows up here.,,,Parked,,,,Long Term,Completed,,Leia,Q3,Winning in Global Dining
Bureau Data Ingestion 2.0,Description of the feature shows up here.,12/02/2020,12/02/2020,Parked,,,,Long Term,Completed,,Luke,Q3,Financial Relief Program
Fee Segregation,Description of the feature shows up here.,,,Parked,,,,Long Term,Completed,,,Q3,Platform Modernization
Facebook Integration,Description of the feature shows up here.,12/12/2020,12/12/2020,Release 2,,,,Near Term,In-Progress,,Leia,Q2,Winning in Global Dining
In-App Support,Description of the feature shows up here.,,,Release 2,,,,Near Term,In-Progress,API Platform,,Q2,
Instagram Integration,Description of the feature shows up here.,,,Parked,,,,Long Term,Completed,,,Q3,Platform Modernization
Apple Watch App,Description of the feature shows up here.,,,Release 2,,,,Near Term,In-Progress,,Leia,Q2,Winning in Global Dining
Statement,Description of the feature shows up here.,,,Release 2,,,,Near Term,In-Progress,iOS App,Han,Q2,
Remarketing Campaign,Description of the feature shows up here.,,,Release 2,,,,Near Term,In-Progress,,Han,Q2,Platform Modernization
Comments Section,Description of the feature shows up here.,,,Release 1,,,,Current,Backlog,API Platform,,Q1,
